"male.ids","female.ids"
0,8484
1,21731
2,31299
3,26088
7,13006
9,1755
10,23346
11,21130
13,12273
14,17274
15,3821
16,7854
17,5003
18,9888
20,5069
22,15557
23,2475
25,31846
26,19465
27,31751
28,8309
29,5217
30,9753
31,5128
32,8702
33,24433
34,27937
35,13970
36,11154
38,13281
39,20202
40,4589
41,30824
42,9234
44,14649
45,9045
46,8146
48,17070
49,10204
53,31882
54,11072
55,22233
56,4995
57,22817
58,12775
59,8146
60,7109
61,3187
62,29108
63,4741
64,9882
65,12001
68,1146
69,20938
70,19714
72,13191
73,23147
74,11613
75,8376
76,26039
77,4288
79,23448
80,17317
81,19054
83,7109
86,25811
87,821
88,23490
90,32063
94,25751
95,20755
96,26268
97,7109
99,5076
100,18832
101,2351
104,30939
105,25373
107,23506
109,16154
110,19582
111,22611
112,17734
115,8428
116,20016
117,26833
118,7109
119,30939
121,1755
122,17306
123,12902
124,27367
127,3004
128,20436
129,30798
132,29329
133,7109
135,4145
136,12984
138,18510
139,32486
140,25373
142,2755
144,25901
146,12809
148,20703
153,12403
154,26586
155,5217
156,9207
157,4649
158,1703
159,27177
164,3869
166,16421
167,22823
168,23506
170,11729
171,22823
172,16792
173,30900
174,6710
176,986
177,21208
178,16401
179,21008
180,17883
182,22067
183,7308
184,23393
185,18640
189,3013
191,10130
192,32511
193,28875
194,5783
195,26805
196,18761
198,26749
199,30511
201,23315
202,1755
206,5142
207,1703
210,22777
211,5217
213,31598
214,19266
215,22625
217,8049
218,599
219,26720
220,26945
221,160
222,30051
223,19781
227,21870
230,11062
232,11801
234,10875
235,27147
237,16091
238,14394
239,30599
240,10693
242,5040
243,3456
244,25309
245,11147
246,28290
248,11270
249,11147
253,8752
254,5840
255,4785
259,1742
261,7109
262,23120
263,7109
264,30015
265,6952
266,29614
267,11440
270,11440
271,14193
272,7854
273,26216
275,21208
276,24221
281,17899
284,4534
285,6453
286,27901
287,11751
289,26214
290,17768
292,25751
293,27895
295,29108
298,12403
299,7444
300,14083
302,29108
303,7109
306,6976
308,17545
309,538
310,16278
311,21705
314,31999
315,23147
316,9103
320,13006
321,20703
322,26664
324,27776
325,21870
328,16027
329,31579
330,22067
331,23360
332,6398
333,7836
334,29108
335,26805
336,12873
337,10690
338,14530
339,11137
340,25177
341,12482
342,22823
343,21848
345,13381
346,19889
348,20887
349,15215
350,1755
351,29191
352,1755
353,2475
354,7784
355,13898
356,3130
357,20647
359,15246
361,5863
362,29108
363,11003
364,31238
365,30939
366,8192
371,26590
372,30929
373,17080
374,15646
377,8539
378,16448
379,7109
380,26664
382,8041
386,27270
391,30900
392,11849
393,31387
395,28875
398,1755
399,30043
400,8343
402,7235
404,17688
405,8104
406,12775
407,12984
409,3849
413,15320
414,13135
415,3553
416,10345
418,28635
420,18756
421,23506
423,11052
425,29108
426,19485
427,3357
428,11072
429,21190
430,11770
431,11413
434,23947
435,821
436,18667
438,23367
440,10524
442,15354
443,8703
444,25031
445,8141
447,21438
448,8146
451,1146
452,5217
453,6364
455,14752
457,22410
458,29108
459,24133
460,24841
461,5178
462,17629
463,28218
466,1829
467,19340
468,14781
470,7381
471,1923
472,5217
473,31458
476,21948
477,1474
478,21028
480,11672
481,11560
482,32126
484,22910
486,160
487,32338
489,29803
491,1253
494,27459
496,15316
497,23001
499,20436
500,8049
501,22604
502,23367
505,22625
506,20296
507,23657
510,11043
512,12482
513,10454
