"male.ids","female.ids"
0,10592
1,16002
2,28518
3,24966
7,18651
9,26115
10,30474
11,7932
13,15045
14,297
15,3821
16,12160
17,10585
18,19556
20,5753
22,7473
23,15199
25,21998
26,29101
27,17984
28,10592
29,10024
30,16928
31,10804
32,13044
33,28396
34,15457
35,24030
36,20938
38,22264
39,24529
40,5390
41,6469
42,23456
44,15134
45,536
46,12054
48,11120
49,14013
53,22199
54,20436
55,24959
56,17708
57,22445
58,27695
59,8974
60,7197
61,28107
62,30959
63,11422
64,25374
65,28450
68,3841
69,14354
70,28249
72,32410
73,5010
74,4720
75,3165
76,31326
77,6015
79,29187
80,23138
81,30892
83,3329
86,16877
87,9211
88,11728
90,19600
94,21649
95,21736
96,1073
97,22929
99,25224
100,17314
101,32382
104,12571
105,30909
107,3421
109,18315
110,19560
111,3468
112,18925
115,19266
116,23320
117,1774
118,14979
119,21202
121,16149
122,4536
123,4926
124,6445
127,4938
128,29358
129,7290
132,18579
133,23305
135,6295
136,13661
138,4217
139,13327
140,21312
142,15456
144,9498
146,29366
148,10448
153,5260
154,29745
155,17140
156,7466
157,11623
158,3058
159,251
164,6843
166,16011
167,4472
168,27463
170,30712
171,28052
172,28514
173,27080
174,6143
176,10962
177,19153
178,18721
179,14301
180,31314
182,17350
183,4705
184,4478
185,1038
189,17885
191,30173
192,5872
193,23899
194,31852
195,29072
196,12824
198,13320
199,17083
201,10918
202,6002
206,22179
207,29170
210,7928
211,28464
213,25319
214,32311
215,24212
217,21921
218,16172
219,14224
220,20116
221,13003
222,19212
223,8760
227,25017
230,15113
232,2378
234,21021
235,8336
237,6295
238,20135
239,19827
240,19843
242,14387
243,126
244,29946
245,22981
246,18434
248,24433
249,15528
253,5303
254,24015
255,11134
259,5243
261,5453
262,11403
263,24
264,30015
265,20698
266,21488
267,25871
270,31762
271,11698
272,20319
273,10354
275,20536
276,3010
281,3123
284,2161
285,31442
286,241
287,30755
289,7081
290,18164
292,5915
293,30641
295,23750
298,20400
299,28353
300,22381
302,30404
303,12243
306,28065
308,6908
309,483
310,20726
311,21705
314,12972
315,27679
316,3990
320,6584
321,2235
322,17226
324,11967
325,2540
328,9877
329,6611
330,31051
331,18158
332,13149
333,2202
334,19874
335,13043
336,29419
337,28726
338,14024
339,30539
340,18723
341,19736
342,31451
343,1335
345,17215
346,21762
348,19097
349,21652
350,28970
351,23314
352,1111
353,22363
354,3594
355,25373
356,21131
357,25689
359,15246
361,21968
362,21724
363,11047
364,32197
365,5616
366,13711
371,4174
372,29870
373,25818
374,25015
377,17829
378,16456
379,3468
380,14378
382,30085
386,23574
391,19723
392,758
393,24750
395,18113
398,4069
399,7223
400,24563
402,31177
404,7891
405,23412
406,19181
407,14829
409,16623
413,15716
414,14878
415,30710
416,18051
418,9069
420,22287
421,31073
423,16799
425,21867
426,20703
427,30517
428,6943
429,936
430,6439
431,4623
434,14318
435,24692
436,23699
438,12150
440,13490
442,29693
443,19417
444,31102
445,25157
447,9634
448,13962
451,27917
452,30779
453,18672
455,17947
457,923
458,23299
459,10209
460,13247
461,8314
462,11679
463,10326
466,15486
467,31294
468,19589
470,11318
471,29743
472,10213
473,12673
476,25723
477,25099
478,2340
480,3481
481,8277
482,23367
484,25591
486,31007
487,1392
489,26028
491,16151
494,32338
496,4958
497,30505
499,12132
500,9384
501,30141
502,18381
505,13685
506,28361
507,18346
510,5335
512,7387
513,29040
514,7131
517,11154
519,14988
520,31576
521,11169
522,21114
523,14098
524,5016
526,23846
528,10854
529,5934
531,30916
532,13309
534,6914
535,29809
537,3356
540,3626
541,32410
543,7220
544,13833
547,5627
548,28080
549,27563
550,29361
556,19913
559,30998
560,23478
561,12050
562,23484
564,10965
565,19572
566,8894
568,3545
569,21463
570,464
571,10582
572,2835
573,296
575,8029
576,10022
579,4209
580,12687
581,6144
582,3329
583,22435
584,15951
586,7141
587,5124
588,27752
589,21654
590,12683
592,15116
593,18805
595,23127
597,13356
598,8300
600,1920
601,6990
603,25947
604,15552
606,15067
607,10152
608,17683
611,23787
612,4239
613,6951
615,10568
616,1130
617,4754
618,30227
619,13195
623,8714
624,2124
625,27720
626,26026
627,30765
628,27944
629,5678
632,6054
634,8180
636,7793
637,1016
638,15130
639,9879
640,28316
641,16712
642,31103
643,31451
644,3352
645,14619
647,23573
648,24880
649,13656
650,28802
651,9412
652,21705
657,26026
658,3847
659,12759
660,30054
661,7200
662,2133
663,9882
666,5722
667,28223
669,20400
670,6832
672,12409
673,18436
674,16453
676,4174
677,17310
678,17133
679,24264
680,9272
681,11672
682,8020
683,17352
686,25993
688,22773
689,29835
690,15305
692,6077
693,18474
695,22095
696,10324
697,28951
700,14331
702,27419
703,5391
706,17818
707,17148
708,7593
709,30245
710,29251
712,11477
713,17848
716,22099
719,21649
720,5298
721,19905
722,27546
723,15146
724,20602
725,6186
728,13253
729,11187
732,24182
735,29803
737,8664
739,12343
741,1644
743,14858
744,14227
746,14166
748,31536
749,12015
750,5959
751,2557
752,16044
753,30236
754,7290
755,16824
756,11206
759,25649
762,3481
763,17316
764,24044
766,1364
769,29354
771,23510
772,18915
774,18994
775,8623
777,31387
778,20023
779,17724
780,2549
782,28666
783,5931
786,7562
787,19338
788,23159
790,22381
791,23163
792,8920
794,7588
795,20776
796,1320
797,26841
798,7551
799,15143
800,26420
801,21299
802,14574
805,4856
806,21935
807,10587
808,10684
809,25490
811,27730
812,8364
813,26945
814,29795
817,1552
818,26799
819,25810
820,8725
822,21893
824,2227
825,8320
828,25431
829,30439
830,3037
832,12661
833,3270
835,27629
836,9996
838,24179
839,6988
840,22396
841,2451
842,24774
844,32099
845,30550
847,8592
848,25738
849,22762
852,19285
854,5511
855,16380
857,27993
861,13183
862,21169
863,10881
864,30277
866,18510
867,13807
868,3203
869,29034
870,26035
871,11721
872,14178
873,11188
874,24910
875,18553
878,12038
881,27661
882,28017
883,3811
885,4181
886,11342
887,10353
888,2730
891,10850
893,773
894,29372
895,11699
896,23075
898,810
899,9210
900,28544
901,24552
903,24326
904,19682
906,16034
907,13361
908,12072
909,15317
910,26331
911,6192
912,17003
913,19050
914,27424
915,12038
917,30974
918,7872
919,11411
920,31501
921,12926
924,9993
925,14474
926,11366
927,9956
930,29398
932,29295
934,1752
935,23657
937,9227
938,24593
939,646
941,23203
942,27653
944,9963
948,6054
949,17617
951,8468
954,19595
955,17274
956,5043
957,5298
958,17203
959,30685
960,12873
962,15547
964,21864
966,2595
967,7405
968,27170
970,11356
972,13107
973,16991
974,19577
977,20027
979,6090
983,14004
984,2301
988,27700
990,13399
991,4229
992,32147
993,2164
994,12358
995,9561
996,6595
997,20078
998,14040
999,6615
1000,31753
1001,4754
1004,12590
1005,28290
1006,19748
1007,7386
1008,13216
1009,2586
1011,32497
1012,22887
1013,5742
1014,13778
1015,32135
1018,17891
1019,27382
1020,18414
1021,1410
1023,21349
1025,22200
1026,20847
1027,12307
1029,27170
1031,4383
1032,1636
1034,20849
1035,29749
1036,4772
1037,20177
1043,13985
1045,408
1047,17062
1049,26846
1050,10728
1051,1688
1052,5667
1053,2523
1054,4145
1055,20731
1056,30640
1058,6797
1059,12573
1060,89
1061,19400
1062,8088
1064,1696
1065,23703
1066,7200
1067,21932
1068,15855
1071,26028
1072,20831
1074,11234
1075,16059
1077,21348
1078,19589
1082,1610
1083,14307
1084,32290
1085,14115
1086,31436
1087,7141
1088,203
1089,3002
1090,31636
1091,28026
1092,27246
1093,11356
1094,30355
1095,30833
1096,14209
1100,27741
1101,29687
1102,18921
1103,6476
1106,17133
1107,14980
1108,1762
1109,5489
1110,16354
1112,18594
1115,27019
1116,31319
1117,14307
1119,13229
1120,28039
1122,29096
1123,26664
1126,10074
1127,3940
1128,18811
1129,971
1134,18401
1135,4485
1136,25832
1137,17560
1138,16278
1139,17869
1141,31422
1143,11885
1144,30713
1145,31590
1147,20872
1148,9967
1149,25091
1150,6287
1152,30656
1153,25305
1154,24959
1155,18786
1156,8328
1158,29777
1159,27549
1160,19034
1161,6444
1162,28095
1163,18777
1166,18465
1168,22895
1169,4358
1172,7313
1173,12585
1174,31477
1175,11358
1177,25254
1179,12672
1180,32127
1182,8832
1183,7387
1184,20287
1185,23226
1187,31001
1189,2642
1190,26138
1191,7199
1192,11575
1193,12775
1196,12806
1197,16425
1199,30670
1200,2841
1201,15192
1202,29646
1203,8576
1204,7637
1205,17048
1206,10728
1207,29452
1208,21031
1209,23429
1210,18207
1211,8103
1213,11939
1214,20719
1216,27657
1218,9395
1219,5675
1220,25820
1221,6847
1222,14293
1224,19326
1226,4954
1227,358
1229,21491
1230,26394
1233,6553
1240,29803
1243,15083
1244,19570
1246,28681
1247,16450
1250,24004
1251,23789
1252,557
1254,17527
